0:0:0:0:0:0:0:1 - - [25/Feb/2025:01:10:07 +0530] "GET /Online_E_Shopping_Store/css/Homepage.css HTTP/1.1" 404 799
0:0:0:0:0:0:0:1 - - [25/Feb/2025:01:10:07 +0530] "GET /Online_E_Shopping_Store/kithmaImages/shoe-thumbnail1.jpg.webp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2025:01:10:07 +0530] "GET /Online_E_Shopping_Store/kithmaImages/kithmalheader/kithmalq.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2025:01:10:07 +0530] "GET /Online_E_Shopping_Store/kithmaImages/kithmalheader/kithmallogo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2025:01:10:07 +0530] "GET /Online_E_Shopping_Store/kithmaImages/shoe-thumbnail2.jpg.webp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2025:01:10:07 +0530] "GET /Online_E_Shopping_Store/kithmaImages/shoe-thumbnail3.jpg.webp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2025:01:10:07 +0530] "GET /Online_E_Shopping_Store/kithmaImages/shoe-thumbnail4.jpg.webp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2025:01:10:07 +0530] "GET /Online_E_Shopping_Store/kithmaImages/product%20x/hair-rings.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2025:01:10:07 +0530] "GET /Online_E_Shopping_Store/kithmaImages/product%202/I%20phone%20Series%203.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2025:01:10:07 +0530] "GET /Online_E_Shopping_Store/kithmaImages/shoe-thumbnail5.jpg.webp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2025:01:10:07 +0530] "GET /Online_E_Shopping_Store/kithmaImages/kithmalheader/kithmalweblogo.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2025:01:10:07 +0530] "GET /Online_E_Shopping_Store/kithmaImages/shoe-image.jpg.webp HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2025:01:10:07 +0530] "GET /Online_E_Shopping_Store/kithmaImages/product%20x/UltrasonicCleaner.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2025:01:10:07 +0530] "GET /Online_E_Shopping_Store/kithmaImages/product%20x/Pajamas.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2025:01:10:07 +0530] "GET /Online_E_Shopping_Store/kithmaImages/product%20x/WallClock.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2025:01:10:07 +0530] "GET /Online_E_Shopping_Store/kithmaImages/footer/kithmalword.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2025:01:10:18 +0530] "GET /Online_E_Shopping_Store/kithmalProduct2.jsp HTTP/1.1" 200 25722
0:0:0:0:0:0:0:1 - - [25/Feb/2025:01:10:18 +0530] "GET /Online_E_Shopping_Store/kithmalCSS/kithmalProduct2.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2025:01:10:18 +0530] "GET /Online_E_Shopping_Store/kithmaImages/product%202/I%20phone%20Series%200.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2025:01:10:18 +0530] "GET /Online_E_Shopping_Store/kithmaImages/product%202/I%20phone%20Series%207.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2025:01:10:18 +0530] "GET /Online_E_Shopping_Store/kithmaImages/product%202/I%20phone%20Series%206.jpeg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [25/Feb/2025:01:10:18 +0530] "GET /Online_E_Shopping_Store/kithmaImages/product%202/I%20phone%20Series%201.jpeg HTTP/1.1" 304 -
